image,Hardness
Tile_001-001-000_0.tif,343.8
Tile_001-002-000_0.tif,355
Tile_001-003-000_0.tif,361.2
Tile_001-004-000_0.tif,363.4
Tile_001-005-000_0.tif,360.8
Tile_001-006-000_0.tif,361.2
Tile_001-007-000_0.tif,361
Tile_001-008-000_0.tif,358.8
Tile_001-009-000_0.tif,358.2
Tile_001-010-000_0.tif,358.8
Tile_001-011-000_0.tif,354
Tile_001-012-000_0.tif,349.2
Tile_001-013-000_0.tif,344
Tile_001-014-000_0.tif,344.2
Tile_001-015-000_0.tif,344.8
Tile_001-016-000_0.tif,341.2
Tile_001-017-000_0.tif,361
Tile_001-018-000_0.tif,361.2
Tile_001-019-000_0.tif,358.2
Tile_001-020-000_0.tif,363.4
Tile_001-021-000_0.tif,359.4
Tile_001-022-000_0.tif,362.8
Tile_001-023-000_0.tif,360.2
Tile_001-024-000_0.tif,352.6
Tile_001-025-000_0.tif,352
Tile_001-026-000_0.tif,357.2
Tile_001-027-000_0.tif,347
Tile_001-028-000_0.tif,348.8
Tile_001-029-000_0.tif,344.8
Tile_001-030-000_0.tif,342
Tile_001-031-000_0.tif,339.2
Tile_001-032-000_0.tif,350.4
Tile_001-033-000_0.tif,361.8
Tile_001-034-000_0.tif,357
Tile_001-035-000_0.tif,355.6
Tile_001-036-000_0.tif,351.8
Tile_001-037-000_0.tif,348
Tile_001-038-000_0.tif,343.8
Tile_001-039-000_0.tif,343.6
Tile_001-040-000_0.tif,343.4
Tile_001-041-000_0.tif,352.8
Tile_001-042-000_0.tif,358.2
Tile_001-043-000_0.tif,354
Tile_001-044-000_0.tif,354.6
Tile_001-045-000_0.tif,355.2
Tile_001-046-000_0.tif,349.8
Tile_001-047-000_0.tif,361.6
Tile_001-048-000_0.tif,359.6
Tile_001-049-000_0.tif,353.4
Tile_001-050-000_0.tif,352
Tile_001-051-000_0.tif,347.6
Tile_001-052-000_0.tif,357.6
Tile_001-053-000_0.tif,346.2
Tile_001-054-000_0.tif,349.2
Tile_001-055-000_0.tif,360
Tile_001-056-000_0.tif,344
Tile_001-057-000_0.tif,345
Tile_001-058-000_0.tif,343.2
Tile_001-059-000_0.tif,336
Tile_001-060-000_0.tif,345.6
Tile_001-061-000_0.tif,356.6
Tile_001-062-000_0.tif,363.2
Tile_001-063-000_0.tif,361.4
Tile_001-064-000_0.tif,355.8
Tile_001-065-000_0.tif,349
Tile_001-066-000_0.tif,350.6
Tile_001-067-000_0.tif,347.2
Tile_001-068-000_0.tif,347
Tile_001-069-000_0.tif,344.2
Tile_001-070-000_0.tif,347.2
Tile_001-071-000_0.tif,341.2
Tile_001-072-000_0.tif,356.8
Tile_001-073-000_0.tif,356.4
Tile_001-074-000_0.tif,351.8
Tile_001-075-000_0.tif,353.2
Tile_001-076-000_0.tif,358.2
Tile_001-077-000_0.tif,352.6
Tile_001-078-000_0.tif,342.8
Tile_001-079-000_0.tif,345.2
Tile_001-080-000_0.tif,348.6
Tile_001-081-000_0.tif,351.8
Tile_001-082-000_0.tif,348.4
Tile_001-083-000_0.tif,349.8
Tile_001-084-000_0.tif,349.8
Tile_001-085-000_0.tif,350.2
Tile_001-086-000_0.tif,347.6
Tile_001-087-000_0.tif,354.2
Tile_001-088-000_0.tif,347.2
Tile_001-089-000_0.tif,354.2
Tile_001-090-000_0.tif,347.4
Tile_001-091-000_0.tif,352.8
Tile_001-092-000_0.tif,351.8
Tile_001-093-000_0.tif,350.2
Tile_001-094-000_0.tif,348
Tile_001-095-000_0.tif,350.2
Tile_001-096-000_0.tif,346.8
Tile_001-097-000_0.tif,353.4
Tile_001-098-000_0.tif,351.6
Tile_001-099-000_0.tif,348.2
Tile_001-100-000_0.tif,327
