image,ILS_um,Hardness
image1,0.3076171,343.8
image2,0.28564445,355.0
image3,0.28564445,361.2
image4,0.28564445,363.4
image5,0.3076171,360.8
image6,0.3076171,361.2
image7,0.3076171,361.0
image8,0.3076171,358.8
image9,0.3076171,358.2
image10,0.28564445,358.8
image11,0.28564445,354.0
image12,0.3076171,349.2
image13,0.3076171,344.0
image14,0.3076171,344.2
image15,0.3076171,344.8
image16,0.3076171,341.2
image17,0.3076171,361.0
image18,0.3076171,361.2
image19,0.3076171,358.2
image20,0.3076171,363.4
image21,0.3076171,359.4
image22,0.3076171,362.8
image23,0.3076171,360.2
image24,0.3076171,352.6
image25,0.3076171,352.0
image26,0.3076171,357.2
image27,0.32958975,347.0
image28,0.32958975,348.8
image29,0.32958975,344.8
image30,0.32958975,342.0
image31,0.32958975,339.2
image32,0.3515624,350.4
image33,0.3515624,361.8
image34,0.32958975,357.0
image35,0.3515624,355.6
image36,0.37353505,351.8
image37,0.3515624,348.0
image38,0.37353505,343.8
image39,0.3515624,343.6
image40,0.32958975,343.4
image41,0.32958975,352.8
image42,0.32958975,358.2
image43,0.3076171,354.0
image44,0.3076171,354.6
image45,0.3076171,355.2
image46,0.3076171,349.8
image47,0.28564445,361.6
image48,0.3076171,359.6
image49,0.3076171,353.4
image50,0.3076171,352.0
image51,0.3076171,347.6
image52,0.3076171,357.6
image53,0.28564445,346.2
image54,0.3076171,349.2
image55,0.3076171,360.0
image56,0.3076171,344.0
image57,0.3076171,345.0
image58,0.3076171,343.2
image59,0.3076171,336.0
image60,0.3076171,345.6
image61,0.3076171,356.6
image62,0.3076171,363.2
image63,0.3076171,361.4
image64,0.3076171,355.8
image65,0.3076171,349.0
image66,0.3076171,350.6
image67,0.3076171,347.2
image68,0.3076171,347.0
image69,0.32958975,344.2
image70,0.32958975,347.2
image71,0.3515624,341.2
image72,0.3515624,356.8
image73,0.3515624,356.4
image74,0.37353505,351.8
image75,0.37353505,353.2
image76,0.3515624,358.2
image77,0.3515624,352.6
image78,0.3515624,342.8
image79,0.3515624,345.2
image80,0.32958975,348.6
image81,0.32958975,351.8
image82,0.32958975,348.4
image83,0.3076171,349.8
image84,0.32958975,349.8
image85,0.3076171,350.2
image86,0.3076171,347.6
image87,0.3076171,354.2
image88,0.3076171,347.2
image89,0.3076171,354.2
image90,0.3076171,347.4
image91,0.3076171,352.8
image92,0.3076171,351.8
image93,0.3076171,350.2
image94,0.3076171,348.0
image95,0.3076171,350.2
image96,0.32958975,346.8
image97,0.32958975,353.4
image98,0.3076171,351.6
image99,0.32958975,348.2
image100,0.3076171,327.0
